性格    日文名       英文名       容易成长的能力   不容易成长的能力
勤奋    がんばりや    Hardy        —              —
怕寂寞  さみしがり    Lonely       攻击            防御
固执    いじっぱり    Adamant      攻击            特攻
顽皮    やんちゃ      Naughty      攻击            特防
勇敢    ゆうかん      Brave        攻击            速度
大胆    ずぶとい      Bold         防御            攻击
坦率    すなお        Docile       —              —
淘气    わんぱく      Impish       防御            特攻
乐天    のうてんき    Lax          防御            特防
悠闲    のんき        Relaxed      防御            速度
内敛    ひかえめ      Modest       特攻            攻击
慢吞吞  おっとり      Mild         特攻            防御
害羞    てれや        Bashful      —              —
马虎    うっかりや    Rash         特攻            特防
冷静    れいせい      Quiet        特攻            速度
温和    おだやか      Calm         特防            攻击
温顺    おとなしい    Gentle       特防            防御
慎重    しんちょう    Careful      特防            特攻
浮躁    きまぐれ      Quirky       —              —
自大    なまいき      Sassy        特防            速度
胆小    おくびょう    Timid        速度            攻击
急躁    せっかち      Hasty        速度            防御
爽朗    ようき        Jolly        速度            特攻
天真    むじゃき      Naive        速度            特防
认真    まじめ        Serious      —              —
